,embed_dim,num_heads,ff_dim,num_layers,batch_size
0,16.0,1.0,16.0,1.0,16.0
1,16.0,1.0,16.0,1.0,32.0
2,16.0,1.0,16.0,1.0,64.0
3,16.0,1.0,16.0,2.0,16.0
4,16.0,1.0,16.0,2.0,32.0
5,16.0,1.0,16.0,2.0,64.0
6,16.0,1.0,16.0,3.0,16.0
7,16.0,1.0,16.0,3.0,32.0
8,16.0,1.0,16.0,3.0,64.0
9,16.0,1.0,32.0,1.0,16.0
10,16.0,1.0,32.0,1.0,32.0
11,16.0,1.0,32.0,1.0,64.0
12,16.0,1.0,32.0,2.0,16.0
13,16.0,1.0,32.0,2.0,32.0
14,16.0,1.0,32.0,2.0,64.0
15,16.0,1.0,32.0,3.0,16.0
16,16.0,1.0,32.0,3.0,32.0
17,16.0,1.0,32.0,3.0,64.0
18,16.0,1.0,64.0,1.0,16.0
19,16.0,1.0,64.0,1.0,32.0
20,16.0,1.0,64.0,1.0,64.0
21,16.0,1.0,64.0,2.0,16.0
22,16.0,1.0,64.0,2.0,32.0
23,16.0,1.0,64.0,2.0,64.0
24,16.0,1.0,64.0,3.0,16.0
25,16.0,1.0,64.0,3.0,32.0
26,16.0,1.0,64.0,3.0,64.0
27,16.0,2.0,16.0,1.0,16.0
28,16.0,2.0,16.0,1.0,32.0
29,16.0,2.0,16.0,1.0,64.0
30,16.0,2.0,16.0,2.0,16.0
31,16.0,2.0,16.0,2.0,32.0
32,16.0,2.0,16.0,2.0,64.0
33,16.0,2.0,16.0,3.0,16.0
34,16.0,2.0,16.0,3.0,32.0
35,16.0,2.0,16.0,3.0,64.0
36,16.0,2.0,32.0,1.0,16.0
37,16.0,2.0,32.0,1.0,32.0
38,16.0,2.0,32.0,1.0,64.0
39,16.0,2.0,32.0,2.0,16.0
40,16.0,2.0,32.0,2.0,32.0
41,16.0,2.0,32.0,2.0,64.0
42,16.0,2.0,32.0,3.0,16.0
43,16.0,2.0,32.0,3.0,32.0
44,16.0,2.0,32.0,3.0,64.0
45,16.0,2.0,64.0,1.0,16.0
46,16.0,2.0,64.0,1.0,32.0
47,16.0,2.0,64.0,1.0,64.0
48,16.0,2.0,64.0,2.0,16.0
49,16.0,2.0,64.0,2.0,32.0
50,16.0,2.0,64.0,2.0,64.0
51,16.0,2.0,64.0,3.0,16.0
52,16.0,2.0,64.0,3.0,32.0
53,16.0,2.0,64.0,3.0,64.0
54,16.0,3.0,16.0,1.0,16.0
55,16.0,3.0,16.0,1.0,32.0
56,16.0,3.0,16.0,1.0,64.0
57,16.0,3.0,16.0,2.0,16.0
58,16.0,3.0,16.0,2.0,32.0
59,16.0,3.0,16.0,2.0,64.0
60,16.0,3.0,16.0,3.0,16.0
61,16.0,3.0,16.0,3.0,32.0
62,16.0,3.0,16.0,3.0,64.0
63,16.0,3.0,32.0,1.0,16.0
64,16.0,3.0,32.0,1.0,32.0
65,16.0,3.0,32.0,1.0,64.0
66,16.0,3.0,32.0,2.0,16.0
67,16.0,3.0,32.0,2.0,32.0
68,16.0,3.0,32.0,2.0,64.0
69,16.0,3.0,32.0,3.0,16.0
70,16.0,3.0,32.0,3.0,32.0
71,16.0,3.0,32.0,3.0,64.0
72,16.0,3.0,64.0,1.0,16.0
73,16.0,3.0,64.0,1.0,32.0
74,16.0,3.0,64.0,1.0,64.0
75,16.0,3.0,64.0,2.0,16.0
76,16.0,3.0,64.0,2.0,32.0
77,16.0,3.0,64.0,2.0,64.0
78,16.0,3.0,64.0,3.0,16.0
79,16.0,3.0,64.0,3.0,32.0
80,16.0,3.0,64.0,3.0,64.0
81,32.0,1.0,16.0,1.0,16.0
82,32.0,1.0,16.0,1.0,32.0
83,32.0,1.0,16.0,1.0,64.0
84,32.0,1.0,16.0,2.0,16.0
85,32.0,1.0,16.0,2.0,32.0
86,32.0,1.0,16.0,2.0,64.0
87,32.0,1.0,16.0,3.0,16.0
88,32.0,1.0,16.0,3.0,32.0
89,32.0,1.0,16.0,3.0,64.0
90,32.0,1.0,32.0,1.0,16.0
91,32.0,1.0,32.0,1.0,32.0
92,32.0,1.0,32.0,1.0,64.0
93,32.0,1.0,32.0,2.0,16.0
94,32.0,1.0,32.0,2.0,32.0
95,32.0,1.0,32.0,2.0,64.0
96,32.0,1.0,32.0,3.0,16.0
97,32.0,1.0,32.0,3.0,32.0
98,32.0,1.0,32.0,3.0,64.0
99,32.0,1.0,64.0,1.0,16.0
100,32.0,1.0,64.0,1.0,32.0
101,32.0,1.0,64.0,1.0,64.0
102,32.0,1.0,64.0,2.0,16.0
103,32.0,1.0,64.0,2.0,32.0
104,32.0,1.0,64.0,2.0,64.0
105,32.0,1.0,64.0,3.0,16.0
106,32.0,1.0,64.0,3.0,32.0
107,32.0,1.0,64.0,3.0,64.0
108,32.0,2.0,16.0,1.0,16.0
109,32.0,2.0,16.0,1.0,32.0
110,32.0,2.0,16.0,1.0,64.0
111,32.0,2.0,16.0,2.0,16.0
112,32.0,2.0,16.0,2.0,32.0
113,32.0,2.0,16.0,2.0,64.0
114,32.0,2.0,16.0,3.0,16.0
115,32.0,2.0,16.0,3.0,32.0
116,32.0,2.0,16.0,3.0,64.0
117,32.0,2.0,32.0,1.0,16.0
118,32.0,2.0,32.0,1.0,32.0
119,32.0,2.0,32.0,1.0,64.0
120,32.0,2.0,32.0,2.0,16.0
121,32.0,2.0,32.0,2.0,32.0
122,32.0,2.0,32.0,2.0,64.0
123,32.0,2.0,32.0,3.0,16.0
124,32.0,2.0,32.0,3.0,32.0
125,32.0,2.0,32.0,3.0,64.0
126,32.0,2.0,64.0,1.0,16.0
127,32.0,2.0,64.0,1.0,32.0
128,32.0,2.0,64.0,1.0,64.0
129,32.0,2.0,64.0,2.0,16.0
130,32.0,2.0,64.0,2.0,32.0
131,32.0,2.0,64.0,2.0,64.0
132,32.0,2.0,64.0,3.0,16.0
133,32.0,2.0,64.0,3.0,32.0
134,32.0,2.0,64.0,3.0,64.0
135,32.0,3.0,16.0,1.0,16.0
136,32.0,3.0,16.0,1.0,32.0
137,32.0,3.0,16.0,1.0,64.0
138,32.0,3.0,16.0,2.0,16.0
139,32.0,3.0,16.0,2.0,32.0
140,32.0,3.0,16.0,2.0,64.0
141,32.0,3.0,16.0,3.0,16.0
142,32.0,3.0,16.0,3.0,32.0
143,32.0,3.0,16.0,3.0,64.0
144,32.0,3.0,32.0,1.0,16.0
145,32.0,3.0,32.0,1.0,32.0
146,32.0,3.0,32.0,1.0,64.0
147,32.0,3.0,32.0,2.0,16.0
148,32.0,3.0,32.0,2.0,32.0
149,32.0,3.0,32.0,2.0,64.0
150,32.0,3.0,32.0,3.0,16.0
151,32.0,3.0,32.0,3.0,32.0
152,32.0,3.0,32.0,3.0,64.0
153,32.0,3.0,64.0,1.0,16.0
154,32.0,3.0,64.0,1.0,32.0
155,32.0,3.0,64.0,1.0,64.0
156,32.0,3.0,64.0,2.0,16.0
157,32.0,3.0,64.0,2.0,32.0
158,32.0,3.0,64.0,2.0,64.0
159,32.0,3.0,64.0,3.0,16.0
160,32.0,3.0,64.0,3.0,32.0
161,32.0,3.0,64.0,3.0,64.0
162,64.0,1.0,16.0,1.0,16.0
163,64.0,1.0,16.0,1.0,32.0
164,64.0,1.0,16.0,1.0,64.0
165,64.0,1.0,16.0,2.0,16.0
166,64.0,1.0,16.0,2.0,32.0
167,64.0,1.0,16.0,2.0,64.0
168,64.0,1.0,16.0,3.0,16.0
169,64.0,1.0,16.0,3.0,32.0
170,64.0,1.0,16.0,3.0,64.0
171,64.0,1.0,32.0,1.0,16.0
172,64.0,1.0,32.0,1.0,32.0
173,64.0,1.0,32.0,1.0,64.0
174,64.0,1.0,32.0,2.0,16.0
175,64.0,1.0,32.0,2.0,32.0
176,64.0,1.0,32.0,2.0,64.0
177,64.0,1.0,32.0,3.0,16.0
178,64.0,1.0,32.0,3.0,32.0
179,64.0,1.0,32.0,3.0,64.0
180,64.0,1.0,64.0,1.0,16.0
181,64.0,1.0,64.0,1.0,32.0
182,64.0,1.0,64.0,1.0,64.0
183,64.0,1.0,64.0,2.0,16.0
184,64.0,1.0,64.0,2.0,32.0
185,64.0,1.0,64.0,2.0,64.0
186,64.0,1.0,64.0,3.0,16.0
187,64.0,1.0,64.0,3.0,32.0
188,64.0,1.0,64.0,3.0,64.0
189,64.0,2.0,16.0,1.0,16.0
190,64.0,2.0,16.0,1.0,32.0
191,64.0,2.0,16.0,1.0,64.0
192,64.0,2.0,16.0,2.0,16.0
193,64.0,2.0,16.0,2.0,32.0
194,64.0,2.0,16.0,2.0,64.0
195,64.0,2.0,16.0,3.0,16.0
196,64.0,2.0,16.0,3.0,32.0
197,64.0,2.0,16.0,3.0,64.0
198,64.0,2.0,32.0,1.0,16.0
199,64.0,2.0,32.0,1.0,32.0
200,64.0,2.0,32.0,1.0,64.0
201,64.0,2.0,32.0,2.0,16.0
202,64.0,2.0,32.0,2.0,32.0
203,64.0,2.0,32.0,2.0,64.0
204,64.0,2.0,32.0,3.0,16.0
205,64.0,2.0,32.0,3.0,32.0
206,64.0,2.0,32.0,3.0,64.0
207,64.0,2.0,64.0,1.0,16.0
208,64.0,2.0,64.0,1.0,32.0
209,64.0,2.0,64.0,1.0,64.0
210,64.0,2.0,64.0,2.0,16.0
211,64.0,2.0,64.0,2.0,32.0
212,64.0,2.0,64.0,2.0,64.0
213,64.0,2.0,64.0,3.0,16.0
214,64.0,2.0,64.0,3.0,32.0
215,64.0,2.0,64.0,3.0,64.0
216,64.0,3.0,16.0,1.0,16.0
217,64.0,3.0,16.0,1.0,32.0
218,64.0,3.0,16.0,1.0,64.0
219,64.0,3.0,16.0,2.0,16.0
220,64.0,3.0,16.0,2.0,32.0
221,64.0,3.0,16.0,2.0,64.0
222,64.0,3.0,16.0,3.0,16.0
223,64.0,3.0,16.0,3.0,32.0
224,64.0,3.0,16.0,3.0,64.0
225,64.0,3.0,32.0,1.0,16.0
226,64.0,3.0,32.0,1.0,32.0
227,64.0,3.0,32.0,1.0,64.0
228,64.0,3.0,32.0,2.0,16.0
229,64.0,3.0,32.0,2.0,32.0
230,64.0,3.0,32.0,2.0,64.0
231,64.0,3.0,32.0,3.0,16.0
232,64.0,3.0,32.0,3.0,32.0
233,64.0,3.0,32.0,3.0,64.0
234,64.0,3.0,64.0,1.0,16.0
235,64.0,3.0,64.0,1.0,32.0
236,64.0,3.0,64.0,1.0,64.0
237,64.0,3.0,64.0,2.0,16.0
238,64.0,3.0,64.0,2.0,32.0
239,64.0,3.0,64.0,2.0,64.0
240,64.0,3.0,64.0,3.0,16.0
241,64.0,3.0,64.0,3.0,32.0
242,64.0,3.0,64.0,3.0,64.0
